127.0.0.1 - - [01/Dec/2017:14:47:57 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:26 +0530] "GET /rpa/function HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:37 +0530] "GET /rpa/index.jsp HTTP/1.1" 200 4886
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:37 +0530] "GET /rpa/assets/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:37 +0530] "GET /rpa/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:37 +0530] "GET /rpa/assets/js/jquery.tmpl.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:37 +0530] "GET /rpa/assets/js/jquery.tmplPlus.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/index.jsp HTTP/1.1" 200 4886
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/css/site.css HTTP/1.1" 200 3377
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/js/split.min.js HTTP/1.1" 200 4716
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/js/jquery.tmplPlus.min.js HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/js/jquery.tmpl.min.js HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/images/logo.png HTTP/1.1" 200 25391
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /rpa/assets/images/vertical.png HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:45 +0530] "GET /rpa/dashboard.jsp HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:46 +0530] "GET /rpa/config.jsp HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:46 +0530] "GET /rpa/assets/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:46 +0530] "GET /rpa/lobs HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:01:46 +0530] "GET /rpa/templates/lob_item.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:03:25 +0530] "GET /rpa/config.jsp HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:03:25 +0530] "GET /rpa/lobs HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Dec/2017:17:03:29 +0530] "GET /rpa/config.jsp HTTP/1.1" 200 7244
